,restaurant_id,user_id,is_positive
1335,5,50,True
1338,5,62,True
1340,5,65,True
1341,5,68,True
1344,5,107,True
1348,5,125,True
1349,5,128,True
1351,5,138,True
1352,5,143,True
1353,5,152,True
1356,5,166,True
1359,5,184,True
1360,5,187,True
1362,5,197,True
1364,5,199,True
1365,5,218,True
1367,5,227,True
1370,5,234,True
1373,5,254,True
1374,5,264,True
1379,5,277,True
1380,5,282,True
1381,5,293,True
1385,5,360,True
1388,5,391,True
1389,5,428,True
1390,5,470,True
1391,5,475,True
1392,5,479,True
1394,5,487,True
1398,5,507,True
1399,5,533,True
1402,5,569,True
1404,5,577,True
1405,5,586,True
1407,5,589,True
1408,5,597,True
1410,5,618,True
1412,5,622,True
1416,5,636,True
1418,5,662,True
1420,5,678,True
1422,5,680,True
1424,5,688,True
1426,5,695,True
1427,5,700,True
1428,5,703,True
1429,5,710,True
1430,5,721,True
1432,5,725,True
1434,5,738,True
1436,5,750,True
1437,5,757,True
1438,5,763,True
1440,5,785,True
1442,5,787,True
1446,5,795,True
1447,5,804,True
1448,5,811,True
1451,5,826,True
1453,5,851,True
1454,5,857,True
1458,5,891,True
1460,5,895,True
1463,5,913,True
1464,5,915,True
1469,5,953,True
1471,5,954,True
1473,5,960,True
1474,5,994,True
1475,5,999,True
1476,5,1007,True
1477,5,1019,True
1478,5,1024,True
1481,5,1042,True
1484,5,1045,True
1486,5,1048,True
1488,5,1098,True
1490,5,1125,True
1492,5,1128,True
1496,5,1159,True
